record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,SVAMP,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?",#### 51,SCoT,"To find out how much you have to pay to buy each pack of DVDs, you need to subtract the discount from the original price of each pack. 

Original price per pack: $76
Discount per pack: $25

Total price per pack after discount: $76 - $25 = $51

So, you have to pay $51 to buy each pack of DVDs.",42.7442,4.44166666666667,10036.543898809523,61.858333333333334,2.880952380952381,2748.765625,0.03389830508474576,0.0,0.03389830508474576,0.0,0.0,0.030303030303030304,0.5,0.05714285714285715,1,0.010238907849829393,0.15384615384615383,0.783551037311554,-0.003474572906270623,,,,,,,,,,,
1,SVAMP,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?",#### 51,MGCoT,"To calculate the cost of each pack of DVDs after a 25% discount, you need to subtract the discount amount from the original price of each pack.

Original price per pack: $76
Discount: $25

Cost per pack after discount: $76 - $25 = $51

So, to buy each pack of DVDs, you have to pay $51.",42.5133,4.387951807228916,9958.121658509037,61.36867469879516,4.168674698795181,2748.765625,0.03636363636363636,0.0,0.03636363636363636,0.0,0.0,0.030303030303030304,0.5,0.05714285714285715,1,0.010489510489510523,0.15384615384615383,0.7665652632713318,0.04022182151675224,99.74395751953125,0.0,0.0,0.0,0.0,1.0,0.00012993719428777695,0.0,0.0,0.0,1.0
2,SVAMP,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?",#### 1,SCoT,"To solve this problem, let's break it down step by step:

1. **Start with the information given**: Dan had $3 left after buying a candy bar. This means he had $4 - $3 = $1 more than he started with.

2. **Calculate the cost of the candy bar**: Since Dan had $1 more than he started with, the candy bar must have cost $1.

So, the candy bar cost $1.",46.9366,3.8935483870967764,9963.851184475807,61.43225806451605,3.010752688172043,2748.765625,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.02127659574468085,0.5,0.04081632653061224,1,0.005747126436781658,0.10256410256410256,0.7761147618293762,0.11496352404356003,,,,,,,,,,,
2,SVAMP,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?",#### 1,MGCoT,"To find out how much the candy bar cost, we need to subtract the amount Dan had left with him from the amount he had at the start. 

Given that Dan had $3 left and $4 at the start, we can calculate the cost of the candy bar as follows:

Cost of candy bar = Amount at start - Amount left
Cost of candy bar = $4 - $3
Cost of candy bar = $1

Therefore, the candy bar cost $1.",50.0507,4.132653061224491,9965.692562181122,61.43775510204081,3.7142857142857144,2748.765625,0.025974025974025976,0.0,0.025974025974025976,0.0,0.0,0.025,0.5,0.047619047619047616,1,0.005376344086021501,0.1176470588235294,0.7836794853210449,0.06069977208971977,98.78490447998047,0.0,0.0,0.0,0.0,0.9624167084693909,0.0,0.0,0.0,0.0,1.0
3,SVAMP,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,#### 17,SCoT,"To find out how many salty cookies Paco had left, we need to subtract the number of salty cookies he ate from the total number of salty cookies he had initially. 

Paco initially had 26 salty cookies. He ate 9 of them. So, to find out how many he had left, we subtract 9 from 26:

26 - 9 = 17

Paco had 17 salty cookies left.",46.95,5.1172043010752715,9972.762768817205,61.46559139784941,2.89247311827957,2748.765625,0.030303030303030307,0.0,0.030303030303030307,6.367803053737255e-232,0.0,0.03225806451612903,0.5,0.06060606060606061,1,0.009230769230769265,0.16666666666666666,0.785918116569519,0.2450776845216751,,,,,,,,,,,
3,SVAMP,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,#### 17,MGCoT,"Paco had 26 salty cookies and ate 9 of them. So, he had 26 - 9 = 17 salty cookies left. 

Paco had 17 sweet cookies and ate 14 of them. So, he had 17 - 14 = 3 sweet cookies left. 

Therefore, Paco had 17 - 9 = 8 salty cookies left. 

So, Paco had 8 salty cookies left.",51.0473,4.262000000000001,9924.7852734375,61.19700000000017,3.38,2748.765625,0.03636363636363636,0.0,0.03636363636363636,6.545917251136179e-232,0.0,0.043478260869565216,0.5,0.08,1,0.011194029850746245,0.16666666666666666,0.7708379626274109,0.24762536585330963,99.03465270996094,0.034911125898361206,0.0,0.0,0.005372587125748396,0.9281802773475647,0.0,0.026069991290569305,0.0193202942609787,0.07529934495687485,1.1621265411376953
4,SVAMP,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,#### 22,SCoT,"To find out how many children got off the bus at the bus stop, we can subtract the number of children left on the bus from the initial number of children on the bus. 

Initial number of children on the bus: 43
Number of children left on the bus: 21

Number of children who got off the bus: 43 - 21 = 22

So, 22 children got off the bus at the bus stop.",49.4991,4.174489795918368,9850.057637117347,60.713265306122466,3.1020408163265305,2748.765625,0.0273972602739726,0.0,0.0273972602739726,6.211555838206664e-232,0.0,0.03225806451612903,0.5,0.06060606060606061,1,0.008522727272727293,0.1176470588235294,0.7730018496513367,0.14619646966457367,,,,,,,,,,,
4,SVAMP,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,#### 22,MGCoT,"To find out how many children got off the bus at the bus stop, we can subtract the number of children left on the bus from the initial number of children on the bus. 

Given that there were initially 43 children on the bus and now there are 21 children left, we can calculate the number of children who got off the bus by subtracting 21 from 43:

43 - 21 = 22

Therefore, 22 children got off the bus at the bus stop.",55.5815,4.032110091743122,9930.506594036697,61.19357798165153,3.706422018348624,2748.765625,0.024096385542168676,0.0,0.024096385542168676,6.017810420952586e-232,0.0,0.023809523809523808,0.5,0.04545454545454545,1,0.007211538461538436,0.11428571428571428,0.7760906219482422,0.14119654893875122,97.7042007446289,0.0,0.00929258018732071,0.01532869040966034,0.0,0.9262580871582031,0.0,0.02313859760761261,0.025790341198444366,0.0,1.0
5,SVAMP,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,#### 2,SCoT,"To solve this problem, let's break it down step by step:

1. **Start with the initial number of children on the bus**: 28
2. **Add the number of children who got on the bus**: 82
3. **Subtract the number of children who got off the bus**: 30

Now, let's calculate how many more children got on the bus than those that got off:

- **Initial number of children on the bus**: 28
- **Number of children who got on the bus**: 82
- **Number of children who got off the bus**: 30

**Total number of children on the bus after changes**: 28 + 82 - 30 = 100

**Difference**: 100 - 30 = 70

So, 70 more children got on the bus than those that got off.",97.7751,4.181443298969075,10039.389859858247,61.90412371134018,2.3762886597938144,2748.765625,0.01639344262295082,0.0,0.01639344262295082,0.0,0.0,0.018867924528301886,0.5,0.03636363636363636,1,0.0031250000000000444,0.09756097560975609,0.7475732564926147,0.09548158198595047,,,,,,,,,,,
5,SVAMP,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,#### 2,MGCoT,"To find out how many more children got on the bus than those that got off, we need to subtract the number of children that got off from the total number of children on the bus after some got on.

Total number of children on the bus after some got on = 30
Number of children that got on the bus = 82 - 30 = 52

Number of children that got off the bus = 82 - 52 = 30

Number of children that got on the bus than those that got off = 52 - 30 = 22

So, 22 more children got on the bus than those that got off.",73.2707,4.109722222222223,10015.287868923611,61.73541666666659,3.0833333333333335,2748.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003960396039603964,0.1212121212121212,0.7535672783851624,0.08962228149175644,98.94244384765625,0.0,0.018212854862213135,0.012887723743915558,0.0,0.9771274328231812,0.0001814334245864302,0.02850053459405899,0.020952776074409485,0.0,1.0
