record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,clutrr,"[Scott] and [Lewis] are brothers. [Jason] is father of their father
Question: How is [Lewis] related to [Jason]?",grandson-brother #### grandson,SCoT," 1. **ANALYZE** the question: The question is asking about the relationship between [Lewis] and [Jason].
2. **PLAN** the reasoning steps: We know that [Scott] and [Lewis] are brothers, and [Jason] is the father of their father.
3. **SOLVE** step by step:
   a. [Scott] and [Lewis] are brothers, which means they have the same father and the same mother.
   b. [Jason] is the father of their father, which means [Jason] is the grandfather of [Scott] and [Lewis].
   c. Since [Lewis] is one of the brothers, [Lewis] is also the grandson of [Jason].
4. **STATE** the final answer clearly: [Lewis] is the grandson of [Jason].",102.6769,19.976237623762383,11221.438215501237,69.17227722772263,9.490099009900991,3904.765625,0.05660377358490566,0.0,0.03773584905660377,5.7187224260924895e-232,0.0,0.018518518518518517,0.3333333333333333,0.03508771929824561,1,0.040257648953301084,0.4705882352941177,0.7981703281402588,0.31840306520462036,,,,,,,,,,,
1,clutrr,"[Scott] and [Lewis] are brothers. [Jason] is father of their father
Question: How is [Lewis] related to [Jason]?",grandson-brother #### grandson,MGCoT, [Lewis] is the grandson of [Jason].,11.8105,19.473333333333333,11104.04375,68.46666666666667,17.733333333333334,3904.765625,0.2222222222222222,0.0,0.2222222222222222,1.1640469867513693e-231,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,1,0.2222222222222222,0.6666666666666667,0.8499884009361267,0.3995942175388336,100.0,0.07589404284954071,0.6484670639038086,0.6939290165901184,0.0034500316251069307,0.9736818075180054,0.0,0.6774431467056274,0.7052357196807861,0.1653381884098053,1.3338075876235962
2,clutrr,"[Jason] and his wife [Gabrielle] baked a cake for [Lisa], his daughter.
Question: How is [Lisa] related to [Gabrielle]?",husband-daughter #### daughter,SCoT," 1. **ANALYZE** the question is asking about the relationship between Lisa and Gabrielle.
2. **PLAN** to reason by understanding the information given in the sentence.
3. **SOLVE** step by step:
   - Jason is married to Gabrielle.
   - They baked a cake for Lisa, who is Jason's daughter.
   - Therefore, Lisa is Gabrielle's stepdaughter.
4. **STATE** the final answer clearly: Lisa is related to Gabrielle as her stepdaughter.",62.8157,19.348780487804888,11177.023755081302,68.90162601626022,9.666666666666666,3904.765625,0.028985507246376812,0.0,0.028985507246376812,0.0,0.0,0.02,0.3333333333333333,0.03773584905660377,1,0.060889929742388715,0.5098039215686275,0.807884931564331,0.35195136070251465,,,,,,,,,,,
2,clutrr,"[Jason] and his wife [Gabrielle] baked a cake for [Lisa], his daughter.
Question: How is [Lisa] related to [Gabrielle]?",husband-daughter #### daughter,MGCoT, Lisa is [Gabrielle]'s daughter-in-law.,12.3658,18.07058823529411,11144.279641544117,68.68823529411766,15.176470588235293,3904.765625,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.28205128205128205,0.7647058823529412,0.8322766423225403,0.3753599524497986,100.0,0.0568581260740757,0.8178364038467407,0.8401674032211304,0.0,0.964139461517334,0.0,0.8073705434799194,0.8205790519714355,0.15287522971630096,1.3217350244522095
3,clutrr,"[Myrna] and her father [Jason] are having a very nice chicken dinner with [Jason]'s wife [Gabrielle].
Question: How is [Myrna] related to [Gabrielle]?",husband-daughter #### daughter,SCoT," 1. **ANALYZE** the question is asking about the relationship between Myrna and Gabrielle.
2. **PLAN** to reason by identifying the relationships between the individuals mentioned.
3. **SOLVE** step by step:
   - Myrna is having dinner with Jason and Gabrielle.
   - Jason is Gabrielle's husband.
   - Therefore, Myrna is related to Gabrielle as Jason's daughter.
4. **STATE** the final answer clearly: Myrna is related to Gabrielle as her step-mother.",66.5883,19.12,11267.798557692307,69.45307692307689,9.430769230769231,3904.765625,0.056338028169014086,0.0,0.056338028169014086,0.0,0.0,0.021739130434782608,0.3333333333333333,0.04081632653061224,1,0.05530973451327437,0.5098039215686275,0.8060682415962219,0.3630315065383911,,,,,,,,,,,
3,clutrr,"[Myrna] and her father [Jason] are having a very nice chicken dinner with [Jason]'s wife [Gabrielle].
Question: How is [Myrna] related to [Gabrielle]?",husband-daughter #### daughter,MGCoT, Myrna is related to Gabrielle as her step-sister.,12.8298,17.95294117647059,11287.62362132353,69.60000000000001,19.88235294117647,3904.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18000000000000005,0.7272727272727273,0.8410319685935974,0.2548355460166931,99.36784362792969,0.10207066684961319,0.5674671530723572,0.6016282439231873,0.005420873407274485,0.9092592000961304,0.0,0.5651376843452454,0.5857242941856384,0.2721346318721771,1.4702719449996948
4,clutrr,"[David] likes to watch baseball with his brother. His name is [Joe]. [Gabrielle] loves making cookies for her daughter's son. His name is [David].
Question: How is [Joe] related to [Gabrielle]?",grandson-brother #### grandson,SCoT," 1. **ANALYZE** the question is asking about the relationship between Joe and Gabrielle.
2. **PLAN** to find the relationship by analyzing the given information.
3. **SOLVE** step by step:
   - We know that David likes to watch baseball with his brother, Joe.
   - We also know that Gabrielle loves making cookies for her daughter's son, who is named David.
   - From this information, we can deduce that Joe is David's brother.
   - Since Gabrielle is David's mother, Joe must be Gabrielle's son.
4. **STATE** the final answer clearly: Joe is related to Gabrielle as her son.",81.7045,19.282500000000027,11353.064819335938,70.00187500000004,9.3625,3904.765625,0.0202020202020202,0.0,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0,0.04513888888888884,0.5098039215686275,0.8044116497039795,0.2883622646331787,,,,,,,,,,,
4,clutrr,"[David] likes to watch baseball with his brother. His name is [Joe]. [Gabrielle] loves making cookies for her daughter's son. His name is [David].
Question: How is [Joe] related to [Gabrielle]?",grandson-brother #### grandson,MGCoT, Joe is Gabrielle's son-in-law.,11.3243,21.0,11379.20703125,70.16428571428573,23.428571428571427,3904.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09677419354838712,0.6666666666666666,0.8552950024604797,0.24130800366401672,97.9781494140625,0.16921381652355194,0.7403331995010376,0.6853957176208496,0.0,0.8101252317428589,0.0015178235480561852,0.6472218036651611,0.6819819211959839,0.7149443626403809,2.0293726921081543
5,clutrr,"[Donald] was playing on his bike outside his grandfather [Jason]'s house and his brother [Russell] told him he needed to come inside and finish his homework before it got dark.
Question: How is [Russell] related to [Jason]?",grandson-brother #### grandson,SCoT," 1. **ANALYZE** the question is asking about the relationship between Russell and Jason.
2. **PLAN** to find the relationship by identifying the relevant information in the given text.
3. **SOLVE** by identifying that Donald is the grandson of Jason and the brother of Russell.
4. **STATE** the final answer clearly: Russell is the grandson of Jason.",44.5686,19.51162790697673,11466.739553052326,70.69767441860455,10.325581395348838,3904.765625,0.10169491525423728,0.0,0.10169491525423728,6.659801989051833e-232,0.0,0.02631578947368421,0.3333333333333333,0.048780487804878044,1,0.0714285714285714,0.4897959183673469,0.8176154494285583,0.31907546520233154,,,,,,,,,,,
5,clutrr,"[Donald] was playing on his bike outside his grandfather [Jason]'s house and his brother [Russell] told him he needed to come inside and finish his homework before it got dark.
Question: How is [Russell] related to [Jason]?",grandson-brother #### grandson,MGCoT, [Russell] is the grandson of [Jason].,11.8359,17.920000000000005,11391.157291666666,70.24666666666668,22.533333333333335,3904.765625,0.2222222222222222,0.0,0.2222222222222222,1.1640469867513693e-231,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,1,0.23684210526315785,0.6666666666666667,0.8489121198654175,0.42009592056274414,99.02620697021484,0.13553015887737274,0.7540069818496704,0.772990345954895,0.0008305316441692412,0.8431901931762695,0.0031082804780453444,0.7617765069007874,0.7750537395477295,0.4484354853630066,2.0576746463775635
