record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,saycan,Visit all the locations.,"[""1. find(bowl)\n2. find(trash)\n3. find(user)\n4. find(table)\n5. find(counter)\n6. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(you)\n4. find(trash)\n5. find(bowl)\n6. done().\n"", ""1. find(table)\n2. find(counter)\n3. find(user)\n4. find(trash)\n5. find(bowl)\n6. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(user)\n4. find(trash)\n5. find(bowl)\n6. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(bowl)\n4. find(trash)\n5. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(trash)\n4. find(user)\n5. done().\n"", ""1. find(bowl)\n2. find(counter)\n3. find(table)\n4. find(trash)\n5. find(user)\n6. done().\n""]",SCoT,,153.0351,27.030897009966786,12019.44086119186,74.09667774086363,11.880398671096346,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,saycan,Visit all the locations.,"[""1. find(bowl)\n2. find(trash)\n3. find(user)\n4. find(table)\n5. find(counter)\n6. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(you)\n4. find(trash)\n5. find(bowl)\n6. done().\n"", ""1. find(table)\n2. find(counter)\n3. find(user)\n4. find(trash)\n5. find(bowl)\n6. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(user)\n4. find(trash)\n5. find(bowl)\n6. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(bowl)\n4. find(trash)\n5. done().\n"", ""1. find(counter)\n2. find(table)\n3. find(trash)\n4. find(user)\n5. done().\n"", ""1. find(bowl)\n2. find(counter)\n3. find(table)\n4. find(trash)\n5. find(user)\n6. done().\n""]",MGCoT,,155.1798,27.371428571428606,12011.245392960964,74.03820598006662,11.73421926910299,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.74674987792969,0.36457082629203796,0.8739700317382812,0.24462351202964783,0.0009209803538396955,0.6859959363937378,0.04543853923678398,0.10401064157485962,0.01947827637195587,1.8361338376998901,4.074551582336426
2,saycan,Visit the table and the counter.,"[""1. find(table)\n2. find(counter)\n3. done().\n""]",SCoT,,153.0469,26.33488372093026,11937.024358907807,73.58504983388684,11.564784053156146,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,saycan,Visit the table and the counter.,"[""1. find(table)\n2. find(counter)\n3. done().\n""]",MGCoT,,155.1235,27.833554817275775,11992.365552325582,73.93189368770751,11.940199335548172,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0,0.22692622244358063,1.0,0.621468722820282,0.0,0.8476393222808838,0.006055732257664204,0.5559579133987427,0.5050649642944336,1.3300981521606445,2.819782018661499
3,saycan,Restock the rice chips on the counter,"[""1. find(rice chips)\n2. pick(rice chips)\n3. find(counter)\n4. put(rice chips)\n5. done().\n""]",SCoT,,153.0258,26.300996677740848,12016.194611710964,74.07873754152796,11.44186046511628,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,saycan,Restock the rice chips on the counter,"[""1. find(rice chips)\n2. pick(rice chips)\n3. find(counter)\n4. put(rice chips)\n5. done().\n""]",MGCoT,,155.1272,27.763122923588035,12076.187759551494,74.44053156146171,11.9734219269103,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.60032653808594,0.21142956614494324,0.9172981977462769,0.563629686832428,0.0,0.8196129202842712,0.005425020586699247,0.44413965940475464,0.3733934164047241,1.1836292743682861,2.5656559467315674
4,saycan,Deliver the red bull to the counter,"[""1. find(redbull)\n2. pick(redbull)\n3. find(counter)\n4. put(redbull)\n5. done().\n""]",SCoT,,152.9787,26.434883720930266,12089.227730481727,74.51893687707644,11.747508305647841,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,saycan,Deliver the red bull to the counter,"[""1. find(redbull)\n2. pick(redbull)\n3. find(counter)\n4. put(redbull)\n5. done().\n""]",MGCoT,,152.3777,28.177408637873782,12109.614630917775,74.63421926910304,11.375415282392026,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.60032653808594,0.21142956614494324,0.9172981977462769,0.563629686832428,0.0,0.8196129202842712,0.005425020586699247,0.44413965940475464,0.3733934164047241,1.1836292743682861,2.5656559467315674
5,saycan,Clear the jalapeno chips off the counter,"[""1. find(jalapeno chips)\n2. pick(jalapeno chips)\n3. find(trash)\n4. put(jalapeno chips)\n5. done().\n""]",SCoT,,152.9243,26.932225913621295,12223.007371262458,75.34883720930242,11.647840531561462,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,saycan,Clear the jalapeno chips off the counter,"[""1. find(jalapeno chips)\n2. pick(jalapeno chips)\n3. find(trash)\n4. put(jalapeno chips)\n5. done().\n""]",MGCoT,,152.4282,27.638205980066445,12225.573349252492,75.3594684385382,11.598006644518273,2720.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.60032653808594,0.21142956614494324,0.9172981977462769,0.563629686832428,0.0,0.8196129202842712,0.005425020586699247,0.44413965940475464,0.3733934164047241,1.1836292743682861,2.5656559467315674
