record_id,text,Readability,Coherence,Relevance,Specificity,Engagement,Concise,Length,Zipf,Hapax,Entropy,Perplexity,dataset
0,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
1,E,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
2,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
3,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
4,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
5,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
6,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
7,C,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
8,E,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
9,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
10,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
11,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
12,C,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
13,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
14,C,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
15,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
16,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
17,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
18,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
19,C,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
20,C,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
21,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
22,E,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
23,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
24,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
25,D,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
26,C,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
27,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
28,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
29,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
30,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
31,A,100.0,0.0,0.0,0.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
32,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
33,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
34,B,100.0,0.0,1.0,1.0,0.0,1.0,0.000499875020830709,1.0,1.0,0.0,1.0,aqua
