record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,aqua,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",A,SCoT,,200.5029,37.7638795986622,14822.439877717392,91.37157190635443,11.719063545150501,3884.7589360367892,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,aqua,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
# Answer option: ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",A,MGCoT,,160.9532,47.07751677852346,14351.61035811661,88.47046979865783,12.704697986577182,3892.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.48136901855469,0.8730787038803101,0.4442921280860901,0.5665662288665771,0.029772715643048286,0.27472662925720215,0.02699226699769497,0.18875333666801453,0.3917376697063446,3.07490873336792,8.54793643951416
2,aqua,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",E,SCoT,,154.6862,37.47242524916945,14254.390508201826,87.87076411960146,11.774086378737541,3892.770738164452,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,aqua,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
# Answer option: ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",E,MGCoT,,156.7954,42.426245847176126,14651.954760174418,90.3212624584717,12.106312292358805,3892.765625,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,98.62440490722656,0.17251671850681305,0.7623567581176758,0.8394002914428711,0.0,0.8439638018608093,0.0,1.0,1.0,0.6009467840194702,2.2921013832092285
3,aqua,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",A,SCoT,,154.0114,40.930232558139515,14949.39294798588,92.1538205980065,11.73421926910299,3894.767091465947,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,aqua,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
# Answer option: ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",A,MGCoT,,155.6848,44.55647840531557,14522.983414659468,89.52657807308978,12.43189368770764,3894.7750726744184,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,98.67605590820312,0.2159881293773651,0.5945730209350586,0.32515451312065125,0.001863511628471315,0.7732864022254944,0.016588473692536354,0.3252260088920593,0.28695887327194214,1.0074387788772583,2.7465105056762695
4,aqua,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",B,SCoT,,154.2188,40.15249169435222,14699.480403862126,90.61461794019928,11.77076411960133,3894.768181582226,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,aqua,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
# Answer option: ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",B,MGCoT,,156.9443,49.299667774086366,14772.88253997093,91.06345514950164,12.149501661129568,3894.788011316445,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0,0.08729434013366699,0.7930532693862915,0.8761118054389954,0.0,0.9756792783737183,0.0,1.0,1.0,0.28819525241851807,1.5999585390090942
5,aqua,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",B,SCoT,,153.8991,39.768438538205984,14763.278589597176,91.00531561461801,11.162790697674419,3894.7889327242524,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,aqua,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
# Answer option: ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",B,MGCoT,,156.12,40.3488372093023,14067.155367524916,86.71461794019933,11.538205980066445,3894.7889327242524,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.88011932373047,0.06241998448967934,0.43580707907676697,0.4659946858882904,0.0,0.9555215239524841,0.0,0.4027125835418701,0.41359999775886536,0.20542222261428833,1.3635883331298828
6,aqua,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
# Answer option: ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']",D,SCoT,,154.671,41.17209302325585,14421.920239825582,88.90465116279071,11.604651162790697,3894.7883098006646,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
