record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,asdiv,Seven red apples and two green apples are in the basket. How many apples are in the basket?,9,SCoT," 1. **ANALYZE** the question: The question is asking for the total number of apples in the basket.
2. **PLAN** the reasoning steps: We need to add the number of red apples and green apples together.
3. **SOLVE** step by step:
   - We have 7 red apples.
   - We have 2 green apples.
   - Add the number of red apples and green apples: 7 + 2 = 9.
4. **STATE** the final answer clearly: There are 9 apples in the basket.",69.2458,19.42014925373134,10998.306261660447,67.8067164179105,10.082089552238806,3700.765625,0.02631578947368421,0.0,0.02631578947368421,6.091662401187491e-232,0.0,0.022222222222222223,1.0,0.04347826086956522,1,0.0023980815347721673,0.05128205128205127,0.7755129933357239,0.31573331356048584,,,,,,,,,,,
1,asdiv,Seven red apples and two green apples are in the basket. How many apples are in the basket?,9,MGCoT," There are seven red apples and two green apples in the basket. In total, there are nine apples in the basket.",17.7993,22.435714285714283,10948.199776785714,67.49285714285716,12.214285714285714,3904.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8186291456222534,0.36299851536750793,99.7314682006836,0.007419615983963013,0.0,0.0,0.002490208251401782,0.9867167472839355,0.0,0.0,0.0,0.007110781967639923,1.0
2,asdiv,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,15,SCoT," 1. **ANALYZE** the question: We are given that Ellen has six more balls than Marin, and we know that Marin has nine balls.
2. **PLAN** the reasoning steps: We need to find the number of balls Ellen has. Since we know Marin has nine balls, we can add six to find the number of balls Ellen has.
3. **SOLVE** step by step:
   - Marin has nine balls.
   - Ellen has six more balls than Marin.
   - Ellen's balls = Marin's balls + 6
   - Ellen's balls = 9 + 6
4. **STATE** the final answer clearly: Ellen has 15 balls.",81.3383,19.491250000000015,10860.587377929687,66.9481250000002,9.3,3904.765625,0.020833333333333332,0.0,0.020833333333333332,5.761138600803475e-232,0.0,0.02,1.0,0.0392156862745098,1,0.0038910505836575737,0.0909090909090909,0.7786254286766052,0.2051287293434143,,,,,,,,,,,
2,asdiv,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,15,MGCoT," Ellen has six more balls than Marin, who has nine balls. To find out how many balls Ellen has, we can simply add six to the number of balls Marin has.

Ellen's balls = Marin's balls + 6
Ellen's balls = 9 + 6
Ellen's balls = 15

So, Ellen has 15 balls.",48.9501,23.12111111111111,10789.260112847222,66.51333333333338,13.033333333333333,3904.765625,0.03773584905660378,0.0,0.03773584905660378,6.752107625974243e-232,0.0,0.03333333333333333,1.0,0.06451612903225806,1,0.007936507936507908,0.12121212121212122,0.7882350087165833,0.19261302053928375,99.70256805419922,0.0,0.0,0.0,0.0003383122384548187,0.994399905204773,0.0,0.008863091468811035,0.0026397109031677246,0.0,1.0
3,asdiv,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,16,SCoT," 1. **ANALYZE** the question: The question is asking for the total number of oranges that Janet and Sharon have together.
2. **PLAN** the reasoning steps needed: We need to add the number of oranges that Janet has to the number of oranges that Sharon has.
3. **SOLVE** step by step: 
   - Janet has 9 oranges.
   - Sharon has 7 oranges.
   - Add the number of oranges: 9 + 7 = 16.
4. **STATE** the final answer clearly: Janet and Sharon have 16 oranges together.",75.1917,19.35405405405404,10802.463180954392,66.5797297297298,9.35135135135135,3904.765625,0.024999999999999998,0.0,0.024999999999999998,6.017810420952586e-232,0.0,0.022222222222222223,1.0,0.04347826086956522,1,0.0043290043290042934,0.09523809523809523,0.7826097011566162,0.2128136157989502,,,,,,,,,,,
3,asdiv,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,16,MGCoT," Janet has nine oranges and Sharon has seven oranges. To find out how many oranges they have together, we simply add the number of oranges each person has.

Janet's oranges: 9
Sharon's oranges: 7

Total oranges: 9 + 7 = 16

So, Janet and Sharon have 16 oranges together.",49.4547,20.804395604395594,10737.353708791208,66.1857142857142,12.0,3904.765625,0.039999999999999994,0.0,0.039999999999999994,6.885877678021066e-232,0.0,0.029411764705882353,1.0,0.05714285714285715,1,0.007407407407407418,0.1111111111111111,0.7948914170265198,0.1889268010854721,100.0,0.005653330124914646,0.0,0.0,0.0037361339200288057,0.9976567625999451,0.0,0.0,0.0,0.0,1.0
4,asdiv,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,6,SCoT," 1. **ANALYZE** the question: The question is asking for the total number of balloons Allan and Jake have in the park.
2. **PLAN** the reasoning steps: We need to add the number of balloons Allan brought and the number of balloons Jake brought.
3. **SOLVE** step by step: Allan brought 2 balloons and Jake brought 4 balloons. Adding these two numbers together, we get 2 + 4 = 6 balloons.
4. **STATE** the final answer clearly: Allan and Jake have a total of 6 balloons in the park.",70.6717,19.161870503597136,10957.594817895684,67.54964028776976,9.100719424460431,3904.765625,0.022988505747126436,0.0,0.022988505747126436,5.948228664567313e-232,0.0,0.02040816326530612,1.0,0.039999999999999994,1,0.0020790020790020236,0.05128205128205127,0.7816822528839111,0.36721575260162354,,,,,,,,,,,
4,asdiv,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,6,MGCoT," Allan and Jake brought a total of six balloons to the park. Allan had two balloons, and Jake had four balloons.",19.2938,18.99666666666666,10884.239453125,67.09999999999997,14.066666666666666,3904.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8217986822128296,0.2978917956352234,98.26070404052734,0.016933482140302658,0.0,0.015691719949245453,0.004286141134798527,0.9200184941291809,0.0,0.06961032748222351,0.06004299223423004,0.027880750596523285,1.0
5,asdiv,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,14,SCoT," 1. **ANALYZE** the question: We are given that Adam has five more apples than Jackie, and we know that Jackie has nine apples.
2. **PLAN** the reasoning steps: We need to find the number of apples Adam has. Since we know Jackie has nine apples, we can add five to find the number of apples Adam has.
3. **SOLVE** step by step:
   a. We know Jackie has nine apples.
   b. Adam has five more apples than Jackie, so we add five to Jackie's number of apples: 9 + 5 = 14.
4. **STATE** the final answer clearly: Adam has 14 apples.",81.7724,20.245962732919256,11069.326014169255,68.23726708074524,9.354037267080745,3904.765625,0.019801980198019802,0.0,0.019801980198019802,5.746825102397619e-232,0.0,0.019230769230769232,1.0,0.03773584905660378,1,0.0038022813688213253,0.09523809523809523,0.7722979784011841,0.2531108558177948,,,,,,,,,,,
5,asdiv,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,14,MGCoT, Adam has 9 + 5 = 14 apples.,11.2559,17.493333333333336,11044.83984375,68.10000000000001,20.733333333333334,3904.765625,0.2857142857142857,0.0,0.2857142857142857,1.0832677820940877e-231,0.0,0.1111111111111111,1.0,0.19999999999999998,1,0.0714285714285714,0.2222222222222222,0.818630039691925,0.2757767140865326,99.70256805419922,0.0,0.0,0.0,0.0003383122384548187,0.994399905204773,0.0,0.008863091468811035,0.0026397109031677246,0.0,1.0
