record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,SVAMP,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?",#### 51,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

The question asks for the price after a discount. We need to find the final price after the discount is applied.

**2. PLAN**

* **Step 1:** Calculate the discount amount: $76 * 0.25 = $19
* **Step 2:** Subtract the discount from the original price: $76 - $19 = $57

**3. SOLVE**

* **Step 1:**  The discount is $19.
* **Step 2:**  The final price is $57.

**4. STATE**

You have to pay **$57** for each pack of DVDs after the 25% discount. 
",85.388,4.239880952380953,13633.434500558036,84.03392857142875,3.9226190476190474,3728.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060975609756097615,0.1276595744680851,0.7521858215332031,0.07313993573188782,,,,,,,,,,,
1,SVAMP,"Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack, how much do you have to pay to buy each pack?",#### 51,MGCoT,"After the discount, each pack of DVDs costs $76 - $25 = $51. 
",14.1251,4.666666666666667,13539.345703125,83.45416666666668,12.666666666666666,3728.765625,0.16666666666666669,0.0,0.16666666666666669,0.0,0.0,0.0625,0.5,0.1111111111111111,1,0.048387096774193505,0.1875,0.7733201384544373,0.0838485062122345,99.74395751953125,0.0,0.0,0.0,0.0,1.0,0.00012993719428777695,0.0,0.0,0.0,1.0
2,SVAMP,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?",#### 1,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

* The question asks for the cost of the candy bar. 
* We know Dan started with $4 and has $3 left.
* This means the candy bar cost the difference between his starting amount and his remaining amount.

**2. PLAN**

*  To find the cost of the candy bar, we need to calculate the amount of money Dan spent.
*  We can do this by subtracting the amount of money he has left from his starting amount.

**3. SOLVE**

*  Cost of candy bar = Starting amount - Amount left
*  Cost of candy bar = $4 - $3 
*  Cost of candy bar = $1

**4. STATE**

The candy bar cost $1. 
",89.2019,4.479545454545456,13634.351629083807,84.04545454545465,3.9318181818181817,3728.765625,0.018018018018018018,0.0,0.018018018018018018,0.0,0.0,0.017241379310344827,0.5,0.03333333333333333,1,0.003278688524590123,0.09756097560975609,0.7651130557060242,0.05955040827393532,,,,,,,,,,,
2,SVAMP,"Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start, how much did the candy bar cost?",#### 1,MGCoT,"Dan started with $4.00 and had $3.00 left after buying a candy bar.  

Here's how to find the cost:

* **Subtract his remaining money from his starting amount:** $4.00 - $3.00 = $1.00 

The candy bar cost **$1.00**. 
",41.1741,4.248717948717951,13621.62139423077,83.96538461538451,6.538461538461538,3728.765625,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0,0.009216589861751112,0.11428571428571428,0.7772632837295532,0.01877197064459324,98.78490447998047,0.0,0.0,0.0,0.0,0.9624167084693909,0.0,0.0,0.0,0.0,1.0
3,SVAMP,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,#### 17,SCoT,"Here's how to solve the problem step-by-step:

**1. ANALYZE**

The question asks how many salty cookies Paco has left after eating some. We need to find the number of salty cookies he had initially and then subtract the number he ate.

**2. PLAN**

* **Step 1:** Find the total number of cookies Paco had initially.
* **Step 2:** Find the number of salty cookies Paco ate.
* **Step 3:** Subtract the number of salty cookies Paco ate from the initial number of salty cookies.

**3. SOLVE**

* **Step 1:** Paco had 26 salty cookies + 17 sweet cookies = 43 cookies total.
* **Step 2:** Paco ate 14 sweet cookies + 9 salty cookies = 23 cookies.
* **Step 3:** Paco has 43 cookies - 23 cookies = 20 salty cookies left.

**4. STATE**

Paco has **20** salty cookies left. 
",113.3884,4.3700892857142835,13470.815272739956,83.04241071428545,3.8392857142857144,3728.765625,0.015151515151515152,0.0,0.015151515151515152,5.296345581277523e-232,0.0,0.01694915254237288,0.5,0.03278688524590164,1,0.0039215686274509665,0.13333333333333333,0.7437894940376282,0.23107324540615082,,,,,,,,,,,
3,SVAMP,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,#### 17,MGCoT,"Paco started with 26 salty cookies and 17 sweet cookies.  He ate 14 sweet cookies and 9 salty cookies.  

To find out how many salty cookies he has left, we need to subtract the number of cookies he ate from the number he started with: 

26 - 9 = 17 

Paco has **17** salty cookies left. 
",44.736,3.8776470588235306,13459.224724264706,82.95882352941163,5.858823529411764,3728.765625,0.03636363636363636,0.0,0.03636363636363636,6.659801989051833e-232,0.0,0.030303030303030304,0.5,0.05714285714285715,1,0.01038062283737029,0.15789473684210525,0.7813382148742676,0.25677525997161865,99.03465270996094,0.034911125898361206,0.0,0.0,0.005372587125748396,0.9281802773475647,0.0,0.026069991290569305,0.0193202942609787,0.07529934495687485,1.1621265411376953
4,SVAMP,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,#### 22,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

* The question asks us to find the number of children who got off the bus at the stop. 
* We know the starting number of children (43) and the final number of children (21) left on the bus.

**2. PLAN**

* We need to use subtraction to find the number of children who got off. 
*  Subtract the number of children left on the bus from the starting number of children.

**3. SOLVE**

*  Children who got off = Starting children - Children left on the bus
*  Children who got off = 43 - 21 
*  Children who got off = 22

**4. STATE**

* There were **22** children who got off the bus at the bus stop. 
",95.2402,4.135106382978723,13555.261240857713,83.5563829787236,3.9148936170212765,3728.765625,0.017094017094017096,0.0,0.017094017094017096,5.4163389104701204e-232,0.0,0.0196078431372549,0.5,0.03773584905660377,1,0.0046224961479198745,0.09756097560975609,0.75179123878479,0.13789597153663635,,,,,,,,,,,
4,SVAMP,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,#### 22,MGCoT,"43 children were riding on the bus.  At the bus stop, 21 children were left on the bus.  This means that **21** children got off the bus at the bus stop. 


**Explanation:**

* **Readability:** The response is written in a clear and concise manner, using simple language and short sentences. (Readability: 97.704)
* **Coherence:** The response flows logically from the initial statement to the answer. (Coherence: 0.000)
* **Relevance:** The response directly addresses the question and provides the correct answer. (Relevance: 0.009)
* **Specificity:** The response uses precise language to answer the question. (Specificity: 0.015)
* **Engagement:** The response is direct and informative, engaging the reader with the answer. (Engagement: 0.000)
* **Concise:** The response is short and to the point, using concise phrasing. (Concise: 0.926)
* **Length:** The response is concise and to the point. (Length: 0.000)
* **Zipf:** The response uses a variety of words, reflecting a natural word-frequency distribution. (Zipf: 0.023)
* **Hapax:** The response uses a variety of words, reflecting a natural",153.4618,4.290033222591358,13555.145491590532,83.55382059800674,3.8803986710963456,3728.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0027223230490017736,0.08888888888888889,0.7480020523071289,0.13074912130832672,97.7042007446289,0.0,0.00929258018732071,0.01532869040966034,0.0,0.9262580871582031,0.0,0.02313859760761261,0.025790341198444366,0.0,1.0
5,SVAMP,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,#### 2,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

* The question asks for the difference between the number of children who got on the bus and the number who got off. 
* We know the starting number of children (28) and the final number (30).

**2. PLAN**

* We need to find the number of children who got on the bus.
* We need to find the number of children who got off the bus.
* We can use the information about the final number of children to find the difference.

**3. SOLVE**

* **Step 1:**  Find the number of children who got on the bus: 
    *  We know the total number of children on the bus is 30.
    *  We know 82 children got on the bus.
    *  Therefore, the number of children who got on the bus is 82 - 30 = 52.
* **Step 2:** Find the number of children who got off the bus:
    *  We know the total number of children on the bus is 30.
    *  We know 82 children got on the bus.
    *  Therefore, the number of children who got off the bus is 82 - 30 = 52.
* **Step 3:** Find the difference between",152.1094,4.148837209302322,13652.102561773256,84.16544850498393,3.627906976744186,3728.765625,0.010638297872340425,0.0,0.010638297872340425,0.0,0.0,0.01818181818181818,0.5,0.03508771929824561,1,0.0019704433497537144,0.0909090909090909,0.7409510612487793,0.09318608790636063,,,,,,,,,,,
5,SVAMP,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,#### 2,MGCoT,"Here's how we can solve this problem:

* **Start with the total:** We know there were 30 children on the bus after some got on and some got off.
* **Find the difference:**  To find out how many more got on, we need to find the difference between the number of children on the bus and the number that got on. 
* **Calculate the difference:** 82 children got on the bus, and 30 children were already on the bus. 
* **Answer:** 82 - 30 = 52 more children got on the bus. 



Let me know if you'd like to try another problem! 
",75.4414,4.263698630136987,13590.510595034246,83.78013698630127,4.917808219178082,3728.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003824091778202643,0.1,0.7657193541526794,0.05777250602841377,98.94244384765625,0.0,0.018212854862213135,0.012887723743915558,0.0,0.9771274328231812,0.0001814334245864302,0.02850053459405899,0.020952776074409485,0.0,1.0
6,SVAMP,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,#### 46,SCoT,"Here's how to solve the problem step-by-step:

**1. Analyze the question:**

* Olivia started with $3.
* She collected $49 more from the ATM.
* She had $49 left after going to the supermarket.
* We need to find the difference between the amount collected and the amount spent.

**2. Plan the reasoning steps:**

* **Step 1:** Calculate the total amount of money Olivia had after collecting from the ATM.
* **Step 2:** Calculate the amount spent at the supermarket.
* **Step 3:** Calculate the difference between the amount collected and the amount spent.

**3. Solve step-by-step:**

* **Step 1:** Total money after ATM: $3 + $49 = $52
* **Step 2:** Amount spent at the supermarket: $52 - $49 = $3
* **Step 3:** Difference between collected and spent: $49 - $3 = $46

**4. State the final answer:**

Olivia collected $46 more at the ATM than she spent at the supermarket. 
",123.9088,4.115510204081631,13733.062452168368,84.65346938775512,3.7755102040816326,3728.765625,0.013986013986013986,0.0,0.013986013986013986,0.0,0.0,0.016129032258064516,0.5,0.03125,1,0.0034364261168384758,0.13333333333333333,0.7371282577514648,0.1104220375418663,,,,,,,,,,,
6,SVAMP,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,#### 46,MGCoT,"Here's how we can break down the problem to find the answer:

* **Start:** Olivia had $3.00 in her wallet.
* **ATM:** She added $49.00 to her wallet.
* **Supermarket:** She spent $49.00 at the supermarket.
* **Difference:**  The amount she collected at the ATM was $49.00. 
* **Answer:** Olivia collected $49.00 at the ATM and spent $49.00 at the supermarket. 


Let me know if you'd like to explore other scenarios! 
",69.3595,5.34179104477612,12863.327396222016,79.29179104477605,5.029850746268656,3728.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004784688995215336,0.10526315789473684,0.7666661739349365,0.04389502480626106,98.78755950927734,0.15463373064994812,0.05022592842578888,0.12723518908023834,0.005903903860598803,0.8372058868408203,0.0005905653233639896,0.09317762404680252,0.12326399981975555,0.5027990341186523,2.264674186706543
7,SVAMP,"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now, how many action figures did he have initially on the shelf?",#### 3,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

* The question asks for the number of action figures Jerry had initially. 
* We know he has 10 action figures now after adding 7 more.
* We need to find the number of action figures he had before adding any.

**2. PLAN**

* We can use the information about the current number of action figures to find the initial number.
*  Subtract the number of action figures added from the current number to find the initial number.

**3. SOLVE**

* Initial number = Current number - Number added
* Initial number = 10 - 7 
* Initial number = 3

**4. STATE**

* Jerry had **3** action figures initially on his shelf. 
",87.7075,4.046820809248555,13030.033936958092,80.32543352601168,4.0520231213872835,3728.765625,0.018348623853211007,0.0,0.018348623853211007,5.493030127324876e-232,0.0,0.017857142857142856,0.5,0.03448275862068965,1,0.0030487804878048808,0.09523809523809523,0.7623628377914429,0.16581587493419647,,,,,,,,,,,
7,SVAMP,"Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now, how many action figures did he have initially on the shelf?",#### 3,MGCoT,"Jerry started with *x* action figures on his shelf. He then added 7 more, bringing the total to 10.  

To find the initial number of action figures, we can use the following equation:

*Total action figures = Initial action figures + Added action figures*

*10 = x + 7*

Solving for *x*, we get:

*x = 10 - 7*

*x = 3*

**Answer:** Jerry had **3** action figures initially on his shelf. 


",59.8277,4.502608695652177,12934.402377717392,79.72086956521746,5.165217391304348,3728.765625,0.030303030303030307,0.0,0.030303030303030307,0.0,0.0,0.023255813953488372,0.5,0.04444444444444444,1,0.00512820512820511,0.10256410256410256,0.7776994109153748,0.14757582545280457,100.0,0.0,0.0,0.0,0.0014865820994600654,1.0,0.0,0.016588784754276276,0.02382826805114746,0.0,1.0
8,SVAMP,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,#### 9,SCoT,"Here's how to solve the problem step-by-step:

**1. Analyze:**

The question asks us to find the difference between the number of cookies Paco ate and the number he gave to his friend. 

**2. Plan:**

* **Step 1:** Calculate the number of cookies Paco gave away (9 cookies).
* **Step 2:** Calculate the number of cookies Paco ate (18 cookies).
* **Step 3:**  Subtract the number of cookies Paco ate from the number of cookies he gave away to find the difference.

**3. Solve:**

* **Step 1:** Paco gave away 9 cookies.
* **Step 2:** Paco ate 18 cookies.
* **Step 3:**  Difference = 18 - 9 = 9

**4. State the answer:**

Paco ate 9 more cookies than he gave to his friend. 
",99.3196,4.212244897959185,12866.161870216836,79.30408163265272,3.9183673469387754,3728.765625,0.016949152542372885,0.0,0.016949152542372885,5.470563275684957e-232,0.0,0.0196078431372549,0.5,0.03773584905660377,1,0.002971768202080227,0.09302325581395349,0.7462882399559021,0.14630277454853058,,,,,,,,,,,
8,SVAMP,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,#### 9,MGCoT,"Paco started with 41 cookies. He gave 9 to his friend, leaving him with 41 - 9 = 32 cookies. Then he ate 18 cookies, leaving him with 32 - 18 = 14 cookies. 

He ate 14 cookies more than he gave to his friend. 


",39.1675,4.181081081081082,12818.778874577703,79.01081081081081,6.108108108108108,3728.765625,0.047619047619047616,0.0,0.047619047619047616,7.03404585427606e-232,0.0,0.041666666666666664,0.5,0.07692307692307693,1,0.009433962264150941,0.1176470588235294,0.793826699256897,0.17508465051651,99.36859130859375,0.0,0.0,0.0,0.0,0.9854881167411804,0.0005116683314554393,0.0,0.0,0.0,1.0
9,SVAMP,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,#### 4,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

* The question asks for the amount of flour Mary needs to add.
* We know she started with 6 cups of flour and needs 10 cups total.
* We need to find the difference between the required amount and the amount she already has.

**2. PLAN**

*  To find the difference, we subtract the amount she has from the amount needed.

**3. SOLVE**

*  Flour needed: 10 cups
*  Flour already added: 6 cups
*  Difference: 10 cups - 6 cups = 4 cups

**4. STATE**

Mary needs to add **4** more cups of flour. 
",82.1854,4.498765432098765,12910.440417631173,79.58148148148155,4.320987654320987,3728.765625,0.020618556701030924,0.0,0.020618556701030924,5.704925649051987e-232,0.0,0.019230769230769232,0.5,0.037037037037037035,1,0.0036900369003689537,0.09756097560975609,0.7603306770324707,0.06997404247522354,,,,,,,,,,,
9,SVAMP,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,#### 4,MGCoT,"Mary needs to add **4** cups of flour. 

Here's how we figure that out:

* **Recipe:** The recipe calls for 10 cups of flour.
* **Already Used:** Mary has used 6 cups of flour.
* **Difference:** 10 cups - 6 cups = 4 cups 


Let me know if you'd like to try another baking problem! 🍰 
",47.7473,4.630769230769232,12824.57554945055,79.05384615384612,6.21978021978022,3728.765625,0.03773584905660378,0.0,0.03773584905660378,6.659801989051833e-232,0.0,0.023255813953488372,0.5,0.04444444444444444,1,0.007042253521126751,0.10526315789473684,0.7640329003334045,0.10591817647218704,99.01375579833984,0.2384026199579239,0.10825040936470032,0.09344516694545746,0.012536509893834591,0.7817639112472534,0.005813157185912132,0.014757439494132996,0.05538252741098404,0.7410763502120972,2.5769615173339844
10,SVAMP,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,#### 21,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

* The problem states the waiter had 12 customers left after 9 customers left. 
* We need to find the number of customers he had at the start.

**2. PLAN**

* We can use the information given to find the number of customers he had at the start.
*  We can use the equation:  ""Number of customers at start = Number of customers left + Number of customers who left""

**3. SOLVE**

* Let 'x' represent the number of customers he had at the start.
* We know:  x - 9 = 12 
* Solve for 'x':
    * x = 12 + 9
    * x = 21

**4. STATE**

* The waiter had **21** customers at the start. 


",98.7424,4.04666666666667,12907.656009615384,79.5753846153845,3.8974358974358974,3728.765625,0.018018018018018018,0.0,0.018018018018018018,5.437705553716812e-232,0.0,0.0196078431372549,0.5,0.03773584905660377,1,0.004769475357710662,0.13636363636363635,0.746593177318573,0.13361693918704987,,,,,,,,,,,
10,SVAMP,A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,#### 21,MGCoT,"Here's how to solve this problem:

* **Start with the final number:** The waiter had 12 customers left.
* **Subtract the customers who left:**  9 customers left.
* **Calculate the starting number:** 12 customers left +  customers who came in =  starting number 


Let me know if you'd like to try another problem! 
",43.193,3.9695121951219527,12863.253953887195,79.30243902439037,5.7317073170731705,3728.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00952380952380949,0.15789473684210525,0.7529959082603455,0.09991512447595596,99.47298431396484,0.0021731092128902674,0.0,0.0,0.0,0.9730627536773682,0.0,0.014628618955612183,0.00456024706363678,0.0,1.0
11,SVAMP,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,#### 1,SCoT,"Here's how to solve the problem:

**1. ANALYZE**

The question asks for the difference in the number of storks and birds. We need to figure out how many more storks there are than birds.

**2. PLAN**

* **Step 1:** Calculate the total number of birds and storks after the new birds and storks arrived.
* **Step 2:**  Calculate the difference between the number of storks and birds.

**3. SOLVE**

* **Step 1:**  Start with the initial number of birds: 3 birds
* **Step 2:**  Add the new birds: 3 + 2 = 5 birds
* **Step 3:**  Add the new storks: 6 storks
* **Step 4:**  Calculate the difference: 6 storks - 5 birds = 1 more stork

**4. STATE**

There is **1** more stork than birds sitting on the fence. 
",108.342,3.938785046728973,12910.735251168224,79.5985981308413,3.9906542056074765,3728.765625,0.016260162601626018,0.0,0.016260162601626018,5.385059418481704e-232,0.0,0.01639344262295082,0.5,0.031746031746031744,1,0.0028409090909090606,0.09523809523809523,0.7501447200775146,0.12782718241214752,,,,,,,,,,,
11,SVAMP,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,#### 1,MGCoT,"There were 3 birds and 6 storks, for a total of 9 birds and storks.  

To find out how many more storks than birds are sitting on the fence, we need to subtract the number of birds from the total number of birds and storks. 

The answer is 6 - 3 = 3. 


",39.6451,4.621333333333336,12918.276770833334,79.63733333333333,6.506666666666667,3728.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003937007874015741,0.0625,0.7756257057189941,0.05991489440202713,98.98627471923828,0.0,0.0,0.0,0.0,0.9647969007492065,0.0004467009857762605,0.0,0.0,0.0,1.0
