record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,clutrr,"[Scott] and [Lewis] are brothers. [Jason] is father of their father
Question: How is [Lewis] related to [Jason]?",grandson-brother #### grandson,SCoT,Lewis is Scott's brother.,3.9356,6.414285714285714,8765.679129464286,54.042857142857144,13.428571428571429,2746.765625,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.1333333333333333,0.5714285714285714,0.8617926836013794,0.31942105293273926,,,,,,,,,,,
1,clutrr,"[Scott] and [Lewis] are brothers. [Jason] is father of their father
Question: How is [Lewis] related to [Jason]?",grandson-brother #### grandson,MGCoT,"Lewis is the father of Jason, who is the father of Scott and Lewis. Therefore, Lewis is the father-in-law of Scott and Lewis.",15.9695,4.479999999999999,8737.647786458334,53.82666666666664,7.933333333333334,2746.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.128,0.6666666666666667,0.8341790437698364,0.21956989169120789,100.0,0.07589404284954071,0.6484670639038086,0.6939290165901184,0.0034500316251069307,0.9736818075180054,0.0,0.6774431467056274,0.7052357196807861,0.1653381884098053,1.3338075876235962
2,clutrr,"[Jason] and his wife [Gabrielle] baked a cake for [Lisa], his daughter.
Question: How is [Lisa] related to [Gabrielle]?",husband-daughter #### daughter,SCoT,Lisa is the daughter of Gabrielle.,4.7242,4.844444444444445,8812.731336805555,54.31111111111112,17.77777777777778,2746.765625,0.2222222222222222,0.0,0.2222222222222222,1.1640469867513693e-231,0.0,0.14285714285714285,0.3333333333333333,0.2,1,0.32352941176470584,0.7333333333333334,0.8618913292884827,0.30961811542510986,,,,,,,,,,,
2,clutrr,"[Jason] and his wife [Gabrielle] baked a cake for [Lisa], his daughter.
Question: How is [Lisa] related to [Gabrielle]?",husband-daughter #### daughter,MGCoT,Lisa is [Jason]'s daughter.,5.3613,3.877777777777778,8799.238715277777,54.222222222222214,24.77777777777778,2746.765625,0.25,0.0,0.25,0.0,0.0,0.125,0.3333333333333333,0.18181818181818182,1,0.33333333333333337,0.6666666666666667,0.8480793833732605,0.3978908061981201,100.0,0.0568581260740757,0.8178364038467407,0.8401674032211304,0.0,0.964139461517334,0.0,0.8073705434799194,0.8205790519714355,0.15287522971630096,1.3217350244522095
3,clutrr,"[Myrna] and her father [Jason] are having a very nice chicken dinner with [Jason]'s wife [Gabrielle].
Question: How is [Myrna] related to [Gabrielle]?",husband-daughter #### daughter,SCoT,Myrna is related to Gabrielle as her father.,6.3394,6.016666666666666,8816.1083984375,54.35833333333332,12.0,2746.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20454545454545459,0.6875000000000001,0.8368884921073914,0.2596703767776489,,,,,,,,,,,
3,clutrr,"[Myrna] and her father [Jason] are having a very nice chicken dinner with [Jason]'s wife [Gabrielle].
Question: How is [Myrna] related to [Gabrielle]?",husband-daughter #### daughter,MGCoT,Myrna is related to Gabrielle as her father.,6.8441,4.283333333333333,8794.656575520834,54.20000000000001,17.666666666666668,2746.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20454545454545459,0.6875000000000001,0.8368884921073914,0.2596703767776489,99.36784362792969,0.10207066684961319,0.5674671530723572,0.6016282439231873,0.005420873407274485,0.9092592000961304,0.0,0.5651376843452454,0.5857242941856384,0.2721346318721771,1.4702719449996948
4,clutrr,"[David] likes to watch baseball with his brother. His name is [Joe]. [Gabrielle] loves making cookies for her daughter's son. His name is [David].
Question: How is [Joe] related to [Gabrielle]?",grandson-brother #### grandson,SCoT,[Joe] is related to [Gabrielle] as [Gabrielle]'s brother.,10.8895,4.376190476190475,8802.682849702382,54.28571428571426,7.809523809523809,2746.765625,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0,0.19298245614035092,0.6875000000000001,0.8240436911582947,0.36791130900382996,,,,,,,,,,,
4,clutrr,"[David] likes to watch baseball with his brother. His name is [Joe]. [Gabrielle] loves making cookies for her daughter's son. His name is [David].
Question: How is [Joe] related to [Gabrielle]?",grandson-brother #### grandson,MGCoT,[Joe] is related to [Gabrielle] as their brother.,8.9252,4.625,8791.21533203125,54.20000000000002,14.375,2746.765625,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0,0.20408163265306123,0.7096774193548386,0.8364661931991577,0.3322451710700989,97.9781494140625,0.16921381652355194,0.7403331995010376,0.6853957176208496,0.0,0.8101252317428589,0.0015178235480561852,0.6472218036651611,0.6819819211959839,0.7149443626403809,2.0293726921081543
5,clutrr,"[Donald] was playing on his bike outside his grandfather [Jason]'s house and his brother [Russell] told him he needed to come inside and finish his homework before it got dark.
Question: How is [Russell] related to [Jason]?",grandson-brother #### grandson,SCoT,"The question is asking about the relationship between [Russell] and [Jason]. Based on the information provided, [Russell] is the brother of [Jason]. Therefore, [Russell] is related to [Jason]. 

The answer is: [Russell] is the brother of [Jason].",31.4729,3.9048387096774198,8810.367250504032,54.303225806451664,4.129032258064516,2746.765625,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0,0.0934959349593496,0.5581395348837208,0.820327877998352,0.3335650861263275,,,,,,,,,,,
5,clutrr,"[Donald] was playing on his bike outside his grandfather [Jason]'s house and his brother [Russell] told him he needed to come inside and finish his homework before it got dark.
Question: How is [Russell] related to [Jason]?",grandson-brother #### grandson,MGCoT,[Russell] is related to [Jason] as his brother.,8.4206,4.420000000000001,8801.5578125,54.26,13.733333333333333,2746.765625,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0,0.14893617021276595,0.6875000000000001,0.840048611164093,0.35337206721305847,99.02620697021484,0.13553015887737274,0.7540069818496704,0.772990345954895,0.0008305316441692412,0.8431901931762695,0.0031082804780453444,0.7617765069007874,0.7750537395477295,0.4484354853630066,2.0576746463775635
6,clutrr,"[James] and his daughter [Theresa] took a day off school to go to the zoo. [James] and his wife [Dorothy] went to the beach to watch the fireworks on the 4th of July.
Question: How is [Theresa] related to [Dorothy]?",husband-daughter #### daughter,SCoT,"The question is asking about the relationship between [Theresa] and [Dorothy]. Based on the information provided, [Theresa] is James' daughter. Therefore, [Theresa] is related to [Dorothy] through her father. 

The answer is: [Theresa] is related to [Dorothy] through her father.",37.081,4.315068493150687,8828.66379494863,54.427397260274006,3.643835616438356,2746.765625,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.034482758620689655,0.3333333333333333,0.0625,1,0.08960573476702505,0.5333333333333333,0.8149436712265015,0.37921392917633057,,,,,,,,,,,
6,clutrr,"[James] and his daughter [Theresa] took a day off school to go to the zoo. [James] and his wife [Dorothy] went to the beach to watch the fireworks on the 4th of July.
Question: How is [Theresa] related to [Dorothy]?",husband-daughter #### daughter,MGCoT,Theresa is the daughter of Dorothy.,5.3926,5.044444444444444,8821.785590277777,54.39999999999999,22.666666666666668,2746.765625,0.2222222222222222,0.0,0.2222222222222222,1.1640469867513693e-231,0.0,0.14285714285714285,0.3333333333333333,0.2,1,0.2857142857142857,0.689655172413793,0.8620768785476685,0.3054039180278778,98.89301300048828,0.189308300614357,0.8037679195404053,0.7888173460960388,0.00013810631935484707,0.8105087280273438,0.0017303262138739228,0.7780694961547852,0.794381856918335,0.695848822593689,2.3504767417907715
7,clutrr,"[Myrna] and her husband [Christopher] went on a cruise. They had a wonderful time. [Christopher] and his daughter [Lucille] took a day off school to go to the zoo.
Question: How is [Lucille] related to [Myrna]?",husband-daughter #### daughter,SCoT,Lucille is Christopher's daughter.,4.3752,5.05,8858.84765625,54.61250000000001,19.25,2746.765625,0.25,0.0,0.25,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,1,0.3529411764705882,0.6451612903225806,0.8557381629943848,0.30081498622894287,,,,,,,,,,,
7,clutrr,"[Myrna] and her husband [Christopher] went on a cruise. They had a wonderful time. [Christopher] and his daughter [Lucille] took a day off school to go to the zoo.
Question: How is [Lucille] related to [Myrna]?",husband-daughter #### daughter,MGCoT,Lucille is [Christopher's] daughter.,6.0377,4.9799999999999995,8827.165234375,54.410000000000004,18.6,2746.765625,0.25,0.0,0.25,0.0,0.0,0.125,0.3333333333333333,0.18181818181818182,1,0.33333333333333337,0.6060606060606061,0.8505513668060303,0.34912097454071045,98.26319122314453,0.27540430426597595,0.5531564950942993,0.5858208537101746,0.006411232519894838,0.7281134128570557,0.004609012510627508,0.502990186214447,0.5575083494186401,0.9069635272026062,2.9177756309509277
8,clutrr,"[Gabrielle] has a grandson who is [Kevin]. [Dan] went to his brother [Kevin]'s Birthday party
Question: How is [Dan] related to [Gabrielle]?",grandson-brother #### grandson,SCoT,Dan is Gabrielle's grandson.,4.2763,5.7625,8799.921875,54.225,17.25,2746.765625,0.25,0.0,0.25,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,1,0.43333333333333335,0.7142857142857143,0.8633049130439758,0.32449230551719666,,,,,,,,,,,
8,clutrr,"[Gabrielle] has a grandson who is [Kevin]. [Dan] went to his brother [Kevin]'s Birthday party
Question: How is [Dan] related to [Gabrielle]?",grandson-brother #### grandson,MGCoT,[Dan] is Gabrielle's grandson.,5.8935,4.619999999999999,8806.3359375,54.31,23.4,2746.765625,0.25,0.0,0.25,0.0,0.0,0.125,0.3333333333333333,0.18181818181818182,1,0.4,0.6666666666666666,0.8536631464958191,0.3479901850223541,100.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
