record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,date,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?",#### 05/01/2021,SCoT," 1. **ANALYZE** the question is asking for the current date in MM/DD/YYYY format.
2. **PLAN** to determine the current date, we need to find the number of days that have passed since April 30, 2021.
3. **SOLVE** step by step:
   a. Calculate the number of days that have passed since April 30, 2021.
   b. Add the number of days to April 30, 2021 to get the current date.
4. **STATE** the final answer clearly:
   a. The number of days that have passed since April 30, 2021 is 365 days (1 year) + 1 day (April 30, 2022).
   b. Adding the number of days to April 30, 2021, we get May 31, 2022.

The current date is 05/31/2022.",121.6276,20.258750000000028,11357.293766276041,70.00833333333307,9.375,3904.765625,0.03252032520325203,0.0,0.016260162601626015,0.0,0.0,0.0,0.0,0.0,0,0.014399999999999968,0.25,0.7919310331344604,0.37037283182144165,,,,,,,,,,,
1,date,"Yesterday was April 30, 2021. What is the date today in MM/DD/YYYY?",#### 05/01/2021,MGCoT, Today's date is 05/01/2021.,12.7632,18.694444444444443,11246.424479166666,69.29999999999998,18.38888888888889,3904.765625,0.6,0.5,0.6,0.0,0.0,0.16666666666666666,0.5,0.25,1,0.3928571428571429,0.5217391304347825,0.9004676342010498,0.7096506357192993,98.37984466552734,0.025673987343907356,0.020930826663970947,0.023295849561691284,0.0,0.9199720025062561,0.000806368188932538,0.013992413878440857,0.02178635448217392,0.1350315362215042,1.25103759765625
2,date,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?",#### 04/30/2021,SCoT," 1. **ANALYZE** the question is asking for the date one day before April 30, 2021.
2. **PLAN** to subtract one day from the given date.
3. **SOLVE** step by step:
   - Start with the given date: April 30, 2021
   - Subtract one day: April 29, 2021
4. **STATE** the final answer clearly: The date yesterday was April 29, 2021.",63.2761,21.149593495934944,11336.014767530487,69.88211382113818,8.495934959349594,3904.765625,0.06666666666666667,0.03448275862068965,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0,0.024615384615384595,0.26666666666666666,0.7831023335456848,0.4064292907714844,,,,,,,,,,,
2,date,"Yesterday was April 30, 2021. What is the date yesterday in MM/DD/YYYY?",#### 04/30/2021,MGCoT," The date yesterday was May 1, 2021.",11.2591,18.846666666666668,11187.410677083333,68.99333333333334,21.733333333333334,3904.765625,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0.13888888888888884,0.3333333333333333,0.8384604454040527,0.5523868203163147,99.18119812011719,0.0,0.01629015803337097,0.016875244677066803,0.0,0.9742509722709656,0.0,0.0281146839261055,0.02031537890434265,0.008682106621563435,1.0017848014831543
3,date,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?",#### 04/21/2021,SCoT," 1. **ANALYZE** the question is asking for the date 10 days ago from April 30, 2021.
2. **PLAN** to subtract 10 days from April 30, 2021.
3. **SOLVE** step by step:
   - Start with April 30, 2021.
   - Subtract 10 days from April 30, 2021.
   - April 30, 2021 - 10 days = April 20, 2021.
4. **STATE** the final answer clearly: The date 10 days ago from April 30, 2021, is April 20, 2021.",91.5985,19.088397790055264,11282.706103245857,69.5580110497238,9.03867403314917,3904.765625,0.0273972602739726,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0,0.023255813953488413,0.22727272727272727,0.765112042427063,0.30795884132385254,,,,,,,,,,,
3,date,"Yesterday was April 30, 2021. What is the date 10 days ago in MM/DD/YYYY?",#### 04/21/2021,MGCoT," The date 10 days ago from April 30, 2021, in MM/DD/YYYY format is 04/20/2021.",25.3052,19.480952380952377,11324.056733630952,69.81904761904765,12.666666666666666,3904.765625,0.1904761904761905,0.0,0.1904761904761905,0.0,0.0,0.0,0.0,0.0,0,0.1282051282051282,0.375,0.8504895567893982,0.4508635997772217,97.83355712890625,0.03534308075904846,0.04017014801502228,0.029124878346920013,0.0,0.8879078030586243,0.0014005962293595076,0.039451755583286285,0.03255631774663925,0.16547992825508118,1.2846219539642334
4,date,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?",#### 04/01/2021,SCoT," 1. **ANALYZE** the question is asking for the date a month ago from April 30, 2021.
2. **PLAN** the reasoning steps needed:
   - Identify the month, day, and year of the given date.
   - Subtract one month from the given date.
   - Adjust the day of the month if necessary due to the varying number of days in each month.
3. **SOLVE** step by step:
   - The given date is April 30, 2021.
   - Subtracting one month from April will result in March.
   - March has 31 days, so the day of the month remains the same.
4. **STATE** the final answer clearly:
   - The date a month ago from April 30, 2021, is March 30, 2021.",104.0059,19.711274509803932,11425.497223498774,70.43578431372539,8.892156862745098,3904.765625,0.017699115044247787,0.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0,0.014539579967689842,0.22727272727272727,0.7520856261253357,0.36980146169662476,,,,,,,,,,,
4,date,"Yesterday was April 30, 2021. What is the date a month ago in MM/DD/YYYY?",#### 04/01/2021,MGCoT," The date a month ago from April 30, 2021, in MM/DD/YYYY format is 03/31/2021.",23.7882,19.927499999999995,11363.9630859375,70.07249999999996,12.05,3904.765625,0.09523809523809525,0.0,0.09523809523809525,0.0,0.0,0.0,0.0,0.0,0,0.1282051282051282,0.3225806451612903,0.8380433917045593,0.5260624289512634,98.49980926513672,0.037813700735569,0.04840664193034172,0.027409516274929047,0.0,0.9085855484008789,0.0005624554469250143,0.024920113384723663,0.022596754133701324,0.18760187923908234,1.3331289291381836
5,date,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?",#### 05/01/2020,SCoT," 1. **ANALYZE** the question is asking for the date one year ago from April 30, 2021.
2. **PLAN** to find the date one year ago, we need to subtract one year from the given date.
3. **SOLVE** step by step:
   - The given date is April 30, 2021.
   - Subtracting one year from 2021 gives us 2020.
   - April 30, 2020 is the date one year ago from April 30, 2021.
4. **STATE** the final answer clearly: The date one year ago from April 30, 2021, is April 30, 2020.",92.0983,19.629670329670354,11438.782752403846,70.51648351648363,9.472527472527473,3904.765625,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0,0.017316017316017285,0.18604651162790697,0.7553117275238037,0.29801008105278015,,,,,,,,,,,
5,date,"Yesterday was April 30, 2021. What is the date one year ago from today in MM/DD/YYYY?",#### 05/01/2020,MGCoT," The date one year ago from April 30, 2021, is April 30, 2020.",19.294,18.44,11424.133854166666,70.39000000000004,12.133333333333333,3904.765625,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0,0.12903225806451613,0.26666666666666666,0.806431233882904,0.4884866178035736,97.63446044921875,0.06146931275725365,0.09543117880821228,0.0966101884841919,0.0005689270910806954,0.8550311326980591,0.0012919119326397777,0.08957348763942719,0.09617599844932556,0.23434220254421234,1.4610990285873413
