record_id,dataset,question,gold_answer,mechanism,final_answer,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,target_Readability,target_Coherence,target_Relevance,target_Specificity,target_Engagement,target_Concise,target_Length,target_Zipf,target_Hapax,target_Entropy,target_Perplexity
1,asdiv,Seven red apples and two green apples are in the basket. How many apples are in the basket?,9,SCoT,"There are 9 apples in the basket. 

Here's the reasoning:

1. We know there are 7 red apples and 2 green apples.
2. Adding these numbers together gives us 9 apples in total.",23.6996,4.11086956521739,8426.841202445652,51.9347826086957,4.086956521739131,2544.765625,0.05714285714285715,0.0,0.05714285714285715,7.601159375410181e-232,0.0,0.03571428571428571,1.0,0.0689655172413793,1,0.005780346820809301,0.0689655172413793,0.8191105723381042,0.3887762427330017,,,,,,,,,,,
1,asdiv,Seven red apples and two green apples are in the basket. How many apples are in the basket?,9,MGCoT,There are a total of 9 apples in the basket.,7.3153,5.761538461538462,8466.510516826924,52.1923076923077,16.76923076923077,2746.765625,0.18181818181818182,0.0,0.18181818181818182,1.0244914152188952e-231,0.0,0.09090909090909091,1.0,0.16666666666666669,1,0.022727272727272707,0.1111111111111111,0.8343682885169983,0.3786792457103729,99.7314682006836,0.007419615983963013,0.0,0.0,0.002490208251401782,0.9867167472839355,0.0,0.0,0.0,0.007110781967639923,1.0
2,asdiv,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,15,SCoT,"To find out how many balls Ellen has, we need to follow these steps:

1. **Identify the information given**: Ellen has six more balls than Marin.
2. **Understand the relationship**: Since Ellen has six more balls than Marin, we can represent Ellen's balls as \(E\) and Marin's balls as \(M\). Therefore, \(E = M + 6\).
3. **Find the value of \(E\):** Given that Marin has nine balls, we can substitute \(M = 9\) into the equation \(E = M + 6\).
4. **Calculate Ellen's balls**: \(E = 9 + 6\).

Let's calculate:

\(E = 9 + 6 = 15\)

Therefore, Ellen has 15 balls.",83.7286,4.228313253012048,8475.07483057229,52.243373493975845,2.4156626506024095,2746.765625,0.02,0.0,0.02,5.691293710187394e-232,0.0,0.016129032258064516,1.0,0.031746031746031744,1,0.0035650623885917776,0.0909090909090909,0.7738946676254272,0.20006155967712402,,,,,,,,,,,
2,asdiv,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,15,MGCoT,Ellen has 9 + 6 = 15 balls.,8.2282,4.706666666666666,8484.31328125,52.29999999999998,13.933333333333334,2746.765625,0.2857142857142857,0.0,0.2857142857142857,1.0832677820940877e-231,0.0,0.1111111111111111,1.0,0.19999999999999998,1,0.07407407407407407,0.23529411764705882,0.8297411203384399,0.2537270486354828,99.70256805419922,0.0,0.0,0.0,0.0003383122384548187,0.994399905204773,0.0,0.008863091468811035,0.0026397109031677246,0.0,1.0
3,asdiv,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,16,SCoT,"To find out how many oranges Janet and Sharon have together, you simply add the number of oranges Janet has to the number of oranges Sharon has:

Janet's oranges: 9
Sharon's oranges: 7

Together: 9 + 7 = 16

Janet and Sharon have 16 oranges together.",34.8676,4.756521739130435,8498.730298913044,52.40724637681164,3.1449275362318843,2746.765625,0.042553191489361694,0.0,0.042553191489361694,6.995501686664742e-232,0.0,0.037037037037037035,1.0,0.07142857142857142,1,0.008000000000000007,0.1142857142857143,0.7931987643241882,0.16697882115840912,,,,,,,,,,,
3,asdiv,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,16,MGCoT,"To find out how many oranges Janet and Sharon have together, you simply add the number of oranges Janet has to the number of oranges Sharon has:

Janet's oranges: 9
Sharon's oranges: 7

Together: 9 + 7 = 16

Janet and Sharon have 16 oranges together.",35.4617,4.660869565217393,8529.535043025362,52.5898550724638,4.217391304347826,2746.765625,0.042553191489361694,0.0,0.042553191489361694,6.995501686664742e-232,0.0,0.037037037037037035,1.0,0.07142857142857142,1,0.008000000000000007,0.1142857142857143,0.7931987643241882,0.16697882115840912,100.0,0.005653330124914646,0.0,0.0,0.0037361339200288057,0.9976567625999451,0.0,0.0,0.0,0.0,1.0
4,asdiv,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,6,SCoT,"To find out how many balloons Allan and Jake had in the park, you need to add the number of balloons Allan brought to the number of balloons Jake brought. Allan brought 2 balloons and Jake brought 4 balloons. So, you would add these two numbers together:

2 (Allan's balloons) + 4 (Jake's balloons) = 6 balloons

Therefore, Allan and Jake had a total of 6 balloons in the park.",45.9347,4.276923076923079,8524.952395260989,52.56263736263737,2.934065934065934,2746.765625,0.028169014084507043,0.0,0.028169014084507043,6.298451848768724e-232,0.0,0.02564102564102564,1.0,0.05,1,0.0026525198938992522,0.05714285714285715,0.7871717810630798,0.3297898471355438,,,,,,,,,,,
4,asdiv,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,6,MGCoT,Allan and Jake brought a total of 2 balloons + 4 balloons = 6 balloons to the park.,12.8272,4.604166666666667,8525.293294270834,52.570833333333326,10.041666666666666,2746.765625,0.11764705882352941,0.0,0.11764705882352941,8.844844403089352e-232,0.0,0.058823529411764705,1.0,0.1111111111111111,1,0.012048192771084376,0.07999999999999999,0.823660671710968,0.28339436650276184,98.26070404052734,0.016933482140302658,0.0,0.015691719949245453,0.004286141134798527,0.9200184941291809,0.0,0.06961032748222351,0.06004299223423004,0.027880750596523285,1.0
5,asdiv,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,14,SCoT,"To find out how many apples Adam has, we need to follow these steps:

1. **Identify the information given**: Adam has five more apples than Jackie.
2. **Understand the relationship**: Jackie has nine apples.
3. **Calculate the number of apples Adam has**: Since Adam has five more apples than Jackie, we add five to the number of apples Jackie has.
4. **State the final answer**: Adam has \(9 + 5 = 14\) apples.

So, Adam has 14 apples.",54.9716,4.843119266055045,8537.670226490825,52.644036697247714,2.8623853211009176,2746.765625,0.025974025974025976,0.0,0.025974025974025976,6.130341565759569e-232,0.0,0.02,1.0,0.0392156862745098,1,0.004587155963302725,0.09523809523809523,0.7794758081436157,0.2795458137989044,,,,,,,,,,,
5,asdiv,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,14,MGCoT,Adam has 9 + 5 = 14 apples.,7.7906,6.435714285714285,8450.87806919643,52.085714285714275,16.571428571428573,2746.765625,0.2857142857142857,0.0,0.2857142857142857,1.0832677820940877e-231,0.0,0.1111111111111111,1.0,0.19999999999999998,1,0.07407407407407407,0.2222222222222222,0.818630039691925,0.2757767140865326,99.70256805419922,0.0,0.0,0.0,0.0003383122384548187,0.994399905204773,0.0,0.008863091468811035,0.0026397109031677246,0.0,1.0
